Title,Company,Experience,Salary,Location,Skills,Posting_Date,Job_Description,Job_URL
Data Scientist,Virtusa,1-5 Yrs,Not disclosed,Bengaluru,"Computer vision, deep learning, C++, GCP, Machine learning, Programming, Transformers, Natural language processing",4 Days Ago,"AI Engineer - Design and implement generative AI models, including GANs, VAEs, and transformers, as well as large language models such as GPT, BERT, LLAMA and similar to create high quality synthetic data and other outputs
Use cutting edge technologies to create a faster, more capable AI
Preprocess and analyse large datasets to train and validate AI and LLM models
Analyse statistics, data, and algorithms for projection accuracy
Use AI analysis to make strategy recommendations that align with company goals
Work with a team of machine learning and data engineers to ensure seamless AI development and integration
Collaborate with software engineers to integrate AI models into production systems, ensuring scalability, reliability, and performance
Stay current on AI knowledge, trends, regulations and proactively apply them to enhance existing solutions
Collect, organize, and present progress with team leadership and stakeholders
Maintain thorough documentation of models, experiments, and methodologies
Qualifications
Proven experience in developing and deploying machine learning models in real world applications
Proficiency in programming languages such as Python, Java, or C++, with experience in libraries and frameworks for AI development
Strong understanding of machine learning algorithms, deep learning architectures, and optimization techniques
Hands-on experience with GANs, VAEs, transformers and LLMs such as GPT, BERT, LLAMA and similar with experience on TensorFlow, PyTorch, Keras, or Apache MXNet
Familiarity with natural language processing libraries such as NLTK, spaCy, or Transformers
Experience in computer vision tasks using frameworks like OpenCV, TensorFlow Object Detection API, or PyTorch Vision
Familiarity with cloud platforms like AWS, GCP, or Azure
Excellent problem-solving skills and the ability to work effectively in a fast-paced, collaborative environment
Effective communication skills with the ability to convey complex technical concepts to non-technical stakeholders
Demonstrated ability to manage multiple projects simultaneously and deliver high-quality results on time",https://www.naukri.com/job-listings-data-scientist-virtusa-consulting-services-pvt-ltd-bengaluru-1-to-5-years-220125502615
"Sr. Data Scientist, Marketing Analytics",Coursera,0-5 Yrs,Not disclosed,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","Computer science, Statistical programming, Data management, Project management, Data collection, Predictive modeling, Business strategy, SQL",12 Days Ago,"Collaborate with marketing teams to define KPIs and assess the impact of marketing efforts on business goals.
Design and implement strategies for tracking marketing campaigns and user interactions, ensuring best practices for data collection.
Develop and maintain data pipelines for seamless access to marketing analysis.
Design interactive dashboards and reports to visualize data and share insights with stakeholders, including regular reporting on marketing performance metrics.
Create and refine attribution models to evaluate marketing channel effectiveness.
Conduct A/B testing and incrementality tests to determine the impact of marketing initiatives on business objectives.
Develop propensity models based on user activity to enhance targeting efforts for various business segments.
Leverage statistical analysis and predictive modeling to inform marketing strategy, customer segmentation, and retention initiatives.
Basic Qualifications:
Bachelor s or Master s degree in Computer Science, Engineering, Statistics, or a related technical field.
5+ years of experience using data to advise marketing or business teams, with a focus on marketing analytics.
Strong SQL skills and advanced proficiency in statistical programming languages such as Python, along with experience using data manipulation libraries (e.g., Pandas, NumPy).
Knowledge of data pipeline development and best practices in data management.
Strong applied statistics skills, including experience with statistical inference techniques and A/B testing methodologies.
Intermediate proficiency in data visualization tools (e.g., Looker, Tableau, Power BI) and a willingness to learn new tools as needed.
Excellent business intuition and project management abilities.
Effective communication and presentation skills, with experience presenting to diverse teams and stakeholders, from individual contributors to executives.
Preferred Qualifications:
Familiarity with the educational technology sector, specifically with platforms like Coursera
Experience with Airflow, Databricks and/or Looker
Experience with Amplitude",https://www.naukri.com/job-listings-sr-data-scientist-marketing-analytics-coursera-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-5-years-150125501392
Data Scientist,Leading Client,0-5 Yrs,Not disclosed,Bengaluru,"Data Science, algorithms, data analysis, predictive modeling, machine learning, statistical analysis, Statistics, Machine",9 Days Ago,"Utilize advanced statistical, mathematical, and machine learning techniques to analyze and interpret large datasets.
Develop and implement machine learning models for forecasting and optimization to solve business problems.
Collaborate with cross-functional teams to understand business requirements and translate them into data science solutions.
Clean, preprocess, and analyze data to identify patterns, trends, and anomalies.
Design and implement algorithms for predictive modeling and optimization.
Develop and maintain scalable and efficient code for data analysis and model deployment.
Create visually compelling reports and dashboards to communicate insights to non-technical stakeholders.
Stay abreast of the latest advancements in data science and contribute to the continuous improvement of our analytical processes.",https://www.naukri.com/job-listings-data-scientist-lorven-technologies-private-limited-bengaluru-0-to-5-years-170125925737
Data Scientist & Experimentation Analyst,Encora,0-5 Yrs,Not disclosed,Bengaluru,"Product engineering, Data analysis, Statistical modeling, Senior Analyst, Cloud Services, Machine learning, Quality engineering, Data analytics",30+ Days Ago,"Data Scientist & Experimentation Analyst
Important Information
Location: Remote
Job Summary
Role Overview
Data Scientist & Experimentation Analyst to play a critical role in supporting the development and evaluation of ML-driven pricing and personalization solutions. This role provides data-driven insights and rigorous experimentation, enabling end-to-end support for machine learning initiatives. The ideal candidate will excel in statistical analysis, experiment design, and data science workflows while supporting ML Scientists in building robust models and analyzing their performance.
Key Responsibilities
Experiment Design & Analysis: Design, execute, and interpret controlled experiments (e.g., A/B tests, multivariate tests) to evaluate the effectiveness of ML models and strategies.
Data Analysis & Insights: Conduct exploratory data analysis (EDA), hypothesis testing, and statistical modelling to support ML and business objectives.
ML Model Support: Assist ML Scientists in preparing data, engineering features, and evaluating models for pricing and personalization solutions.
Reporting & Visualization: Create dashboards and visualizations to track key metrics, experiment outcomes, and model performance.
Ad-Hoc Analysis: Perform deep dives and provide actionable insights on specific datasets or business questions to inform strategic decisions.
Collaboration: Partner with ML Scientists, Data Engineers, and Product Managers to align on experimentation goals and ensure successful implementation of ML solutions.
Qualifications
7+ years in data science, experimentation analysis, or a related role supporting ML projects and experimentation.
Strong understanding of statistical methods, experiment design, and causal inference techniques.
Proficiency in Python for data manipulation & machine learning (Pandas, NumPy, sci-kit-learn).
Intermediate skills in SQL for data querying, including Window Functions, Joins, and Group By
Familiarity with classical ML techniques like Classification, Regression, and Clustering, using algorithms like XGBoost, Random Forest, and KMeans.
Experience with data visualization platforms (e.g., Tableau, Power BI, Matplotlib, or Seaborn).
Proficiency in designing and analyzing A/B and multivariate experiments, focusing on drawing actionable insights.
Experience working with large, complex datasets, including preprocessing, feature engineering, and encoding techniques.
About Encora
Encora is a global company that offers Software and Digital Engineering solutions. Our practices include Cloud Services, Product Engineering & Application Modernization, Data & Analytics, Digital Experience & Design Services, DevSecOps, Cybersecurity, Quality Engineering, AI & LLM Engineering, among others.
At Encora, we hire professionals based solely on their skills and do not discriminate based on age, disability, religion, gender, sexual orientation, socioeconomic status, or nationality.",https://www.naukri.com/job-listings-data-scientist-experimentation-analyst-encora-bengaluru-0-to-5-years-241224504875
Data Scientist (Sales and Marketing Analytics),SOBHA,4-8 Yrs,Not disclosed,Bengaluru,"Data Science, KPI Analysis, Artificial Intelligence, Machine Learning, KPI, Data analytics, Science, Analysis",Just Now,"Role Overview:
We are looking for an experienced Data Scientist to derive actionable insights from sales and marketing data. This role will focus on leveraging advanced data analytics, statistical modeling, and machine learning to uncover trends, predict outcomes, and guide strategic decisions. The ideal candidate will play a crucial role in bridging sales and marketing efforts, enabling data-driven alignment and performance optimization.
Key Responsibilities:
1. Data Analysis and Insight Generation:
a. Analyze large datasets from sales and marketing platforms to identify patterns, trends, and opportunities.
b. Develop actionable insights to improve lead generation, conversion rates, and campaign performance.
2. Predictive Modeling:
a. Build and deploy predictive models to forecast sales performance and marketing campaign outcomes.
b. Use machine learning algorithms to segment customers and predict their behavior.
3. KPI Optimization:
a. Analyze key performance indicators (KPIs) for sales and marketing teams to identify areas for improvement.
b. Provide recommendations to optimize sales pipelines and marketing campaign ROI.
4. Data Integration and Automation:
a. Integrate data from multiple sources (e.g., Salesforce, Google Analytics, Facebook Ads) into a unified analytics framework.
b. Automate reporting and visualization processes using advanced tools.
5. Collaboration with Teams:
a. Work closely with sales, marketing, and business analyst teams to understand data requirements and provide tailored solutions.
b. Translate complex data findings into clear recommendations for leadership.
6. Advanced Visualization:
a. Create interactive dashboards and visualizations using tools like Tableau, Power BI, or Python libraries (e.g., Matplotlib, Seaborn).
b. Present findings and insights to stakeholders in an easy-to-understand format.
7. Experimentation and Testing:
a. Conduct A/B testing to evaluate marketing strategies and sales initiatives.
b. Optimize campaigns by analyzing test results and making data-driven adjustments.",https://www.naukri.com/job-listings-data-scientist-sales-and-marketing-analytics-sobha-bengaluru-4-to-8-years-270125014378
Data Scientist,GE Healthcare,8-13 Yrs,18-33 Lacs PA,Hybrid - Bengaluru,"Data Science, Machine Learning, Python, Machine, Data, Science",Just Now,"Qualifications:
Bachelor's or Master's degree in Computer Science, Engineering, Mathematics, or related field.
Strong programming skills in languages such as Python.
Experience with machine learning frameworks and libraries (e.g., TensorFlow, PyTorch, scikit-learn).
Proficiency in cloud platforms such as AWS, Azure and related services (e.g., AWS SageMaker, Azure ML).
Knowledge of containerization and orchestration technologies (e.g., Docker, Kubernetes).
Familiarity with DevOps practices and tools (e.g., Git, Jenkins, Terraform).
Experience with monitoring and logging tools (e.g., Prometheus, Grafana, ELK stack).
Familiarity with software engineering principles and best practices (e.g., version control, testing, debugging).
Strong problem-solving skills and attention to detail.
Excellent communication and collaboration skills.
Ability to work effectively in a fast-paced and dynamic environment.

Preferred Qualifications:
Experience with big data technologies (e.g., Hadoop, Spark).
Knowledge of microservices architecture and distributed systems.
Certification in relevant technologies or methodologies (e.g., AWS Certified Machine Learning Specialty, Kubernetes Certified Administrator).
Experience with data engineering and ETL processes.
Understanding of machine learning concepts and algorithms.
Understanding of Large Language Models (LLM) and Foundation Models (FM).
Certification in machine learning or related fields.",https://www.naukri.com/job-listings-data-scientist-ge-healthcare-bengaluru-8-to-13-years-270125011562
Data Scientist,LKQ India,3-5 Yrs,Not disclosed,Bengaluru(Bannerghatta Road),"Data Science, AI, Machine Learning, Deep Learning, Python, Statistical Modeling, SQL Queries, Seaborn",Just Now,"Essential Job Duties:
Collect, clean, and preprocess data from various sources to ensure accuracy and usability.
Develop and implement machine learning models and algorithms under supervision.
Perform exploratory data analysis (EDA) to identify trends, patterns, and insights.
Create visualizations and dashboards to present data findings effectively.
Collaborate with stakeholders to understand business requirements and translate them into data science solutions.
Assist in designing, testing, and deploying predictive analytics models.
Continuously monitor and improve the performance of deployed models.
Document processes, methodologies, and findings for future reference.

Basic Qualifications: Bachelors degree in data science, Computer Science, Statistics, Mathematics, or a related field.
Experience: 2 years of relevant Industry experience (preferably in Distribution or Automotive industry)
Basic Qualifications: Bachelors degree in data science, Computer Science, Statistics, Mathematics, or a related field.
Experience: 2 years of relevant Industry experience (preferably in Distribution or Automotive industry)
Knowledge and Skills:
Proficiency in Python for data analysis and modeling.
Knowledge of machine learning libraries (e.g., Scikit-learn, TensorFlow, PyTorch).
Understanding of databases and query optimization in SQL.
Expertise in handling large datasets and familiarity with data cleaning techniques.
Ability to create compelling charts and dashboards to communicate data findings.
Strong communication skills to explain complex concepts to non-technical stakeholders.
Teamwork and collaboration to work effectively within a cross-functional environment.
Critical thinking to identify solutions to business challenges using data.
Understanding of how data insights align with business objectives.
Abilities:
A work style that is very precise, detail and accuracy-oriented is required for a candidate to be successful in the role.
Ability to work in a geographically dispersed team environment
Communication – fluent in the English language (both written and verbal); equally able to explain complex analyses to those within and outside the function.
Pro active
Essential Physical Demands/Work Environment:
Preferred Qualifications:
Bachelor’s degree in data science, Computer Science, Statistics, Mathematics, or a related field.
Proficiency in programming languages such as Python or R.
Familiarity with SQL for querying databases.
Good understanding of machine learning concepts and statistical modeling.
Experience with data visualization tools (e.g., Tableau, Power BI, Matplotlib, or Seaborn).
Strong analytical and problem-solving skills.",https://www.naukri.com/job-listings-data-scientist-lkq-india-bengaluru-3-to-5-years-270125009565
Data Scientist,Launch It Consulting,5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad, Chennai","KQL, Machine learning, Python, SQL, Data Sciences, Deep learning, Data Science, Machine",Few Hours Ago,"We are looking for a senior Data Scientist with 4+ years of experience in data analysis, machine learning, deep learning, natural language processing, computer vision, and generative AI.
You will be responsible for leading and executing data-driven projects that deliver value to our customers and partners.
You will also be expected to collaborate with other data scientists, engineers, and product managers to design, develop, and deploy end-to-end solutions that leverage cutting-edge technologies and methodologies.

Responsibilities
• Conduct data exploration, preprocessing, feature engineering, and model selection using
Python or R, SQL, DAX, and other tools
• Build and deploy machine learning, deep learning, NLP, computer vision, and generative AI
models using frameworks and libraries such as TensorFlow, PyTorch, Keras, Scikit-learn, NLTK,
OpenCV, GPT-3, etc.
Optimize and scale data pipelines, models, and algorithms using cloud platforms and services
such as Azure, AWS, or GCP
Communicate and visualize data insights and recommendations to technical and non-technical
audiences
Stay abreast of the latest developments and trends in data science and AI • Work as an
individual contributor or a team player depending on the project scope and size

Shift :
: 2 PM to 11 PM, (can leave by 6 PM)",https://www.naukri.com/job-listings-data-scientist-launch-it-consulting-hyderabad-chennai-bengaluru-5-to-10-years-270125008762
Data Scientist,Idexcel,3-8 Yrs,Not disclosed,Bengaluru,"NLP, Data Extraction, Python, Word2vec, Embedding, BERT, Data, Natural language processing",Few Hours Ago,"Description Data Scientist
Job Description
Research & develop Machine Learning models for security problems, in the areas of Networking, Application & Data.
Suggest, collect and synthesize requirements and create effective features.
Apply research methodologies to identify the Machine Learning models for the problem at hand. Required Skills",https://www.naukri.com/job-listings-data-scientist-idexcel-bengaluru-3-to-8-years-270125001368
data scientist,CN Solutions,4-6 Yrs,Not disclosed,Bengaluru,"erp, software testing, dbms, web technologies, crm, sap, cyber security, hiring",2 Days Ago,"Skills:.

Data science, python, soark, Azure, Mango, panda,.

Company Overview.

CN Solutions is a leading IT services and consulting company that specializes in providing first-class solutions for manpower requirements.

With a team of experienced professionals, we are dedicated to identifying and shortlisting potential candidates based on client requirements.

Our expertise includes web technologies, databases, software testing, CRM, ERP, data warehousing, middleware, ESM, business analysis, cyber security, IT infrastructure, and SAP hiring.

We offer a range of services including staffing solutions, leadership hiring, RPO, and general staffing..

Job Overview.

CN Solutions is seeking a talented and experienced Data Scientist to join our team.

As a Data Scientist, you will be responsible for analyzing complex datasets to identify trends, patterns, and insights that will drive business decisions.

This role requires a strong knowledge of machine learning algorithms, statistical analysis, and programming.

The ideal candidate should have 4 to 6 years of experience as a Data Scientist, excellent problem-solving skills, and a passion for leveraging data to solve complex problems.

This is a full-time position located in Bangalore, Karnataka, India, with the opportunity to work on cutting-edge projects..

Qualifications And Skills.

Bachelor's degree in Computer Science, Statistics, or a related field; Master's degree preferred.

4 to 6 years of experience as a Data Scientist, preferably in a mid-level role.

Proficient in programming languages such as Python or R.

Strong knowledge of machine learning algorithms and statistical analysis techniques.

Experience with data visualization tools (e.g., Tableau, Power BI) is a plus.

Excellent problem-solving and critical thinking skills.

Strong communication and presentation skills.

Ability to work effectively in a cross-functional team environment.

Roles And Responsibilities.

Analyze large and complex datasets to identify trends, patterns, and insights.

Develop and implement machine learning models and algorithms.

Apply statistical analysis techniques to interpret data and derive meaningful conclusions.

Collaborate with cross-functional teams to define business requirements and project objectives.

Design and create data visualizations to effectively communicate findings to stakeholders.

Stay updated with the latest advancements in data science and machine learning.

Identify opportunities to leverage data to drive business growth and optimize processes.

Provide guidance and mentoring to junior data scientists.",https://www.naukri.com/job-listings-data-scientist-cn-solutions-bengaluru-4-to-6-years-250125907393
