Title,Company,Experience,Salary,Location,Skills,Posting_Date,Job_Description,Job_URL
Data Analyst,Medinno Technologies,1-3 Yrs,Not disclosed,Bengaluru,"healthcare operations, Coding, Data Analyst, Data analytics, Operations, Healthcare, Data analysis, Analytics",5 Days Ago,Seeking an experienced data analyst with healthcare expertise to enhance mass screening and lab services. The role involves analyzing large datasets to derive insights and improve predictive outcomes. Proficiency in coding and familiarity with AI tools for healthcare data analytics are essential. Drive impactful solutions in healthcare operations with us.,https://www.naukri.com/job-listings-data-analyst-medinno-technologies-bengaluru-1-to-3-years-200125503534
Data Analyst,Renaissance Academy Of Wisdom,1-3 Yrs,5.5-10 Lacs PA,"Chennai, Bengaluru, Mumbai (All Areas)","Data Analytics, Devops, Power Bi, Hadoop Stack, Data Visualization, Tableau, SQL, Python",9 Days Ago,"Job Description: Data Analyst

Position Title: Data Analyst
Location:Reneassiance Academy of wisdom
Department: Data & Analytics / Strategy
Reports To: Director of Data Analytics

About Reneassiance Academy of wisdom
Reneassiance Academy of wisdom is a forward-thinking organization dedicated to harnessing the power of data to drive strategic decision-making and operational efficiency. With a commitment to innovation, growth, and data-driven insights, we empower our teams and partners to make informed decisions that improve outcomes across all levels of our business. We are seeking a Data Analyst to join our growing Data & Analytics team.

Position Overview
As a Data Analyst, you will play a key role in transforming data into actionable insights to support business objectives and enhance operational performance. You will collect, clean, analyze, and visualize data from a variety of sources, working closely with cross-functional teams to identify trends, patterns, and opportunities for improvement. This position requires an individual who is detail-oriented, technically proficient, and has a passion for turning data into valuable insights.

Key Responsibilities
Data Collection & Integration: Collect and aggregate data from multiple sources, ensuring data integrity, accuracy, and consistency. Work with various departments to understand data requirements and gather necessary datasets.
Data Analysis: Analyze large datasets to identify trends, correlations, and insights. Conduct exploratory and statistical analyses to support business objectives and inform decision-making.
Data Cleaning & Transformation: Clean and preprocess raw data, identify outliers or anomalies, and transform data into a usable format for analysis. Ensure data is structured and organized for easy retrieval and analysis.
Reporting & Dashboards: Develop and maintain regular reports, dashboards, and key performance indicators (KPIs) that provide actionable insights to stakeholders across the organization. Ensure reports are user-friendly and visually intuitive.
Data Visualization: Use data visualization tools (e.g., Tableau, Power BI, or Excel) to create clear and compelling visual representations of data that highlight key trends, insights, and performance metrics.
Collaboration: Work closely with business leaders and teams across departments to understand their needs, gather feedback, and deliver analytical insights that support operational improvements, strategic initiatives, and decision-making.
Predictive Modeling: Use statistical techniques and machine learning algorithms to build predictive models and forecasts that can guide future business strategies and decisions.
Documentation & Presentation: Document methodologies, data sources, and analytical processes. Present findings and insights to both technical and non-technical stakeholders, providing actionable recommendations.
Continuous Improvement: Keep abreast of new data analytics tools, techniques, and industry trends. Proactively suggest improvements to data management, analysis processes, and reporting practices.
Qualifications
Educational Background: A Bachelors degree in Data Science, Mathematics, Statistics, Computer Science, Economics, or a related field. Relevant certifications (e.g., Google Data Analytics, Microsoft Certified Data Analyst) are a plus.

Experience:
2+ years of experience in data analysis, data science, or a similar analytical role.
Proven ability to work with large datasets, perform data analysis, and create actionable insights.

Skills:
Strong proficiency in data analysis tools (e.g., Excel, SQL, Python, R).
Experience with data visualization tools such as Tableau, Power BI, or similar platforms.
Knowledge of statistical methods, hypothesis testing, and regression analysis.
Familiarity with data cleaning, data wrangling, and ETL processes.
Ability to interpret complex data and communicate insights clearly to both technical and non-technical audiences.
Strong problem-solving abilities and attention to detail.

Personal Attributes:
Analytical mindset with a passion for data and problem-solving.
Excellent communication and collaboration skills.
Self-motivated, proactive, and able to work both independently and as part of a team.
Strong organizational skills and the ability to manage multiple projects simultaneously.

Why Join Us?
Impact: Play a pivotal role in helping the organization make data-driven decisions that influence the future of our business.
Culture: Join a dynamic, inclusive, and collaborative team that values innovation and personal growth.
Professional Development: Take advantage of continuous learning and career advancement opportunities in the field of data analytics.
Compensation & Benefits: Competitive salary, health benefits, paid time off, and opportunities for further education and certifications.Role & responsibilities .",https://www.naukri.com/job-listings-data-analyst-renaissance-academy-of-wisdom-private-limited-chennai-bengaluru-mumbai-all-areas-1-to-3-years-170125000243
Client Data Analyst,JPMorgan Chase Bank,0-5 Yrs,Not disclosed,Bengaluru,"Service delivery, Senior management, Product service, static data, MIS, Focus, Data Analyst, Management",3 Days Ago,"Ensure all requests related to Account Set Up, Maintenance, Closures, Static Data Maintenance and Entitlements activities for our clients and regional service teams located in APAC, EMEA and WHEM are completed in a timely fashion.
Publish MIS/Performance score-cards to senior management on a daily, weekly and/or monthly basis, as required.
Analyze trends and engage product service groups in grass-roots discussions to mitigate such issues at a basic level.
Participate in various department and team projects to exceed Client expectations.
Engage with global counterparts to re-engineer the service delivery as per Client requirements.
Perform duties and tasks are mostly non-routine, requiring experience to successfully accomplish tasks. Exercises judgment within broadly defined practices and policies.
Makes recommendations on process improvements and provides guidance on more complex operating procedures.
Analyzes and prepares reports and scorecards for management. In an individual contributor role, functions as a key contributor with demonstrated knowledge of area of specialization.
Work closely with the Process Manager as well as the Team Members to ensure flawless service delivery to franchise clients.
Required qualifications, capabilities and skills
Graduates / MBA s with 5 years of experience.
Strong verbal and written communication skills
Has to be extremely client-focused and result-oriented in approach
Good team player and self-motivated
Proficiency in Microsoft Office suite of applications
Handles unexpected situations adeptly
Ready to work in any shift.",https://www.naukri.com/job-listings-client-data-analyst-jpmorgan-chase-bengaluru-0-to-5-years-220125500517
Online Data Analysts (Multiple Languages),Telus Digital AI,0-5 Yrs,Not disclosed,Remote,"English, Oriya, Geography, Malayalam, Social Media, Urdu, Marathi, Odia",4 Days Ago,"Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace and from the comfort of your own home.

A Day in the Life of an Online Data Analyst:
In this role, you will be working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide",https://www.naukri.com/job-listings-online-data-analysts-multiple-languages-telus-digital-ai-bengaluru-0-to-5-years-220125016376
Data Analyst,Bitla Software,1-3 Yrs,7-8 Lacs PA,Bengaluru,"Pivot Table, MS Excel, Formulas, Pivot, MIS Reporting, VLOOKUP, HLOOKUP, Microsoft",5 Days Ago,"Roles and Responsibilities
Prepare MIS reports on a regular basis using advanced Excel formulas such as HLOOKUP, VLOOKUP, and PIVOT TABLE.
Develop dashboards to track key performance indicators (KPIs) for the organization's FMCG business unit.
Utilize pivot tables to analyze large datasets and present findings in an easily digestible format.
Collaborate with stakeholders to identify reporting requirements and develop solutions that meet their needs.",https://www.naukri.com/job-listings-data-analyst-bitla-software-bengaluru-1-to-3-years-210125008224
Data Analyst,Cindrebay School Of Fashion & Interior Design,1-4 Yrs,Not disclosed,"Hyderabad, Coimbatore, Thodupuzha, Thiruvananthapuram, Kochi, Kolkata, Kannur, Indore, Nagpur, Pune, Lucknow, Kozhikode, Bengaluru","Secondary Data, Database Design Development, Business Data Analyst, Data Collection Systems, Data Analysis, Data Mining, Information Management, Data Analytics",30+ Days Ago,"Overview
We are looking to hire experienced & certified Data Analysts to join our data team who will be responsible for converting raw data into information, information into insight and insight into business decisions, paving the way for data-driven decision-making within the organization. Data Analysts will be in charge of managing our master data set, developing reports, and troubleshooting data issues. Ideal candidates will possess an eye for detail, experience, and a deep understanding of the popular data analysis tools and databases.
Required skills
Proven working experience as a Data Analyst or Business Data Analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Adept at queries, report writing and presenting findings
Bachelor s Degree from an accredited university or college in Computer Science, Mathematics, Economics, Information Management or Statistics
Job responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems",https://www.naukri.com/job-listings-data-analyst-cindrebay-school-of-fashion-interior-design-hyderabad-coimbatore-thodupuzha-thiruvananthapuram-kochi-kolkata-kannur-indore-nagpur-pune-lucknow-kozhikode-bengaluru-1-to-4-years-101221500466
Data Analyst,Diverse Lynx,1-5 Yrs,Not disclosed,Bengaluru,"Data analysis, Statistical analysis, SAS, Data Analyst, Data analytics, Regression analysis, Data mining, Python",30+ Days Ago,"Managing master data, including creation, updates, and deletion.
Managing users and user roles.
Provide quality assurance of imported data, working with quality assurance analysts if necessary.
Commissioning and decommissioning of data sets.
Processing confidential data and information according to guidelines.
Helping develop reports and analysis.
Managing and designing the reporting environment, including data sources, security, and metadata.
Supporting the data warehouse in identifying and revising reporting requirements.
Supporting initiatives for data integrity and normalization.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Generating reports from single or multiple systems.
Troubleshooting the reporting database environment and reports.
Evaluating changes and updates to source production systems.
Training end-users on new reports and dashboards.
Providing technical expertise in data storage structures, data mining, and data cleansing.",https://www.naukri.com/job-listings-data-analyst-diverse-lynx-bengaluru-1-to-5-years-100523502936
Marine Data Analyst,ExxonMobil,3-5 Yrs,Not disclosed,Bengaluru,"Data Analytics, R, Power Bi, Data Visualization, Data Collection, Gps, Tableau, Logistics",1 Day Ago,"Job Title: Marine Data Analyst

Link to apply: Please find the below link to apply, Copy paste the link in your browser.

https://jobs.exxonmobil.com/job-invite/79701/


What role you will play in our team:

ExxonMobil is seeking an experienced Marine Data Analyst to join our global team, driving competitive advantage to our growing fleet. 
To be successful in this role, you must quickly build understanding of our business needs, employee value proposition and be in a position to translate business strategy and objectives into high impact actions.
You will be a strategic, innovative, and a critical thinker who is outcome focused, able to challenge organization paradigms and demonstrated ability to lead transformational change
You come with high ambition, high energy, tremendous work-ethic, and a desire to be part of a winning team
If this sounds like you, we want you on the team!
The Marine Data Analyst will be responsible for collecting, analysing, and interpreting data related to our shipping operations and supply chain logistics. This role is crucial for optimizing our logistics, improving operational efficiency, and supporting sustainable practices.


What you will do:

Data Collection and Analysis: Gather data from various sources, including shipping logs, GPS systems, and supply chain management systems.
Supply Chain Optimization: Analyze data to identify inefficiencies and opportunities for improvement within the supply chain.
Data Visualization: Create visual representations of data to identify trends and patterns.
Reporting: Prepare detailed reports and presentations on data findings, including actionable recommendations for supply chain enhancements.
Predictive Modeling: Develop and maintain models to forecast shipping routes, schedules, and supply chain demands.
Quality Assurance: Ensure data accuracy and integrity through rigorous quality control processes.
Collaboration: Work closely with logistics, operations, and supply chain teams to support data-driven decision-making.
Technical Support: Provide expertise and support for data-related projects and initiatives.

About You:
Skills and Qualifications:

Fluency in English both written and oral
Minimum 3 years of previous experience in the maritime, logistics, or supply chain industry is preferred.
Comfortable with ambiguity, resourceful and solution-oriented, able to think strategically to design and implement initiatives to create value
Experience working across regions and cross-cultural teams.
Solid comprehension, analytical, evaluation and interpretation skills
Hands on experience in proficiency in Python, R, or SQL, Tableau, PowerBI
Minimum 3 years of experience in data collection & analysis
Strong written and oral communication skills
Detail-Oriented: You have a keen eye for detail and ensure accuracy in your work.
Problem Solver: You enjoy tackling complex problems and finding innovative solutions.
Team Player: You work well in a collaborative environment and are willing to support your colleagues.
Adaptable: You can quickly adapt to new tools, technologies, and changing business needs.
Passionate: You have a genuine interest in the maritime and supply chain industries and are eager to contribute to their advancement.

Preferred Qualifications:
Educational Background: Bachelor's degree in Data Science, Supply Chain Management, Marine Science, Logistics, or a related field.
Technical Skills: Proficiency in data analysis software (e.g., Python, R, SQL) and data visualization tools (e.g., Tableau, Power BI).
Analytical Skills: Strong analytical and problem-solving abilities.
Communication Skills: Excellent written and verbal communication skills for presenting data findings.
Experience: Previous experience in the maritime, logistics, or supply chain industry is preferred",https://www.naukri.com/job-listings-marine-data-analyst-exxonmobil-bengaluru-3-to-5-years-240125019829
Petrophysics Data Analyst,Chevron,2-5 Yrs,Not disclosed,Bengaluru,"python, quality control, data manipulation, gts, troubleshooting, data analysis, data management, data interpretation",2 Days Ago,"About The Position.

Chevron ENGINE is looking for accomplished Petrophysics Data Analyst candidates to join our Earth Science team.

This position in Chevron ENGINE reports to the Engine Production Engineering and Petrophysics Manager and provides support to petrophysicists, as well as interfacing with the broader E&P organization, both in ENGINE and internationally.

The ideal candidate will understand well log data quality, and management, and be able to effectively communicate with services, asset and research and development (R&D) teams to achieve technical objectives and meet deadlines.

Capable execution of scripting in python and other languages will be central to effectively achieve technical milestones..

Key Responsibilities.

Well log data management in multiple platforms and systems as required.

Provides support to display, access, interrogate and transfer technical data across multiple platforms using Techlog, Petrel, ArcGIS and vendor interfaces.

Skilled user of Techlog for log data manipulation.

Locates, loads, spatially QCs, and preps data for individual and field-wide well processing.

Works on customized projects to generate specialized output (e.g., field-wide well log cgm's, reservoir summary, displays, specialized log data formats for export into other programs, well header data, tops, etc.).

Design, direct, and manage information management workflows.

Able to write simple to moderately complex code for multi-well data manipulation and QC, and to work with programmers to create python workflows inside and outside of Techlog to manage, QC, and support data interpretation.

Leadership, teamwork and communication:effectively work with and support petrophysicists and partners in Engine, Technology Center and Business Unit locations.

Able to align work activities with customer expectations.

Exhibits initiative to implement action plans.

Self-Starter:finds problems / issues and works towards solutions.

Able to integrate ideas from other technical specialists and numerous customers.

Required Qualifications.

Bachelors degree in applicable STEM discipline.

5+ years relevant industry experience with well log data and G&G applications.

Knowledge of petrophysics, well log data mnemonics and standards.

Knowledge of log data storage in databases and tools/systems, especially Techlog.

Oral and written communication skills for interacting with users and contractors and communicating progress to key stakeholders are preferred.

Understanding petrophysical processes, recognizing and solving problems, and making recommendations to the project team is preferred.

Proficiency with Python for data manipulation and quality control is preferred.

Familiarity with the Ocean programming environment is preferred.

Analytical skills for troubleshooting software problems and providing workarounds are preferred.

The ability to recognize problems before they escalate, quickly resolve problems, and implement changes to mitigate future occurrences is preferred.

Exhibiting leadership in petrophysical log naming and processing standards is preferred.",https://www.naukri.com/job-listings-petrophysics-data-analyst-chevron-bengaluru-2-to-5-years-230125916804
"Data Analyst, EasyShip",Amazon,0-7 Yrs,Not disclosed,Bengaluru,"Automation, Data analysis, IT Analyst, Analytical, Data analytics, Data Analyst, Subject Matter Expert, Operations",3 Days Ago,"Amazon is looking for a talented, driven Data Analyst It is a pivotal role that will contribute to the evolution and success of one of the fastest growing businesses in the company.

Easy Ship (ES) was launched as a fulfilment channel (on the MFN stack) in India in January 2014. It started with providing a pickup/delivery service for sellers thus solving for poor CX caused by unreliable carriers as well as improving geographical coverage, reliability, speed of delivery and Sunday deliveries along with ensuring COD acceptance and full trackability.

The EasyShip BI team is looking for a professional who relishes diving deep into data. You will have the exciting opportunity to deliver on a strategy to enable broad use of Amazon Seller Services by small/medium sellers and large enterprises in India.
Working in a dynamic environment, you will be responsible for monitoring key success metrics for sellers, identifying problem areas and business challenges and collaboratively shaping solutions with product and business teams to help sellers grow and optimize on the Amazon platform. The successful candidate has a passion for extracting actionable insights from data. He/she rolls up his/her sleeves, innovates, and quickly becomes a subject matter expert to assess business performance across sellers and market segments. He/she has significant experience working with customers, analyzing data, identifying trends, extracting conclusions, and presenting findings in a simple and clear manner. He/she enjoys problem solving and is proficient using Excel and other tools to analyze large data sets.

Key job responsibilities
Understand Amazon seller Services products and services and track/report business performance and problem areas using appropriate metrics.
Use Amazon s tools to problem solve and validate solutions
Partner to define goals around key operational metrics
Recommend business actions based on analytical findings. Includes defining new metrics, techniques, and strategies to improve seller performance - 1+ years of data analytics or automation experience
- Bachelors degree
- Knowledge of data pipelining and extraction using SQL
- Knowledge of SQL and Excel at a moderate or advanced level
- Experience in data analytics or automation",https://www.naukri.com/job-listings-data-analyst-easyship-amazon-india-software-dev-centre-pvt-ltd-bengaluru-0-to-7-years-220125503267
