Title,Company,Experience,Salary,Location,Skills,Posting_Date,Job_Description,Job_URL
Data Scientist,Moodys Investors Service,1-3 Yrs,Not disclosed,Bengaluru,"CSS, Manager Quality Assurance, Analytical, Machine learning, Corporate finance, Natural language processing, Predictive analytics, SQL",5 Days Ago,"Location(s):
Quay Building 8th Floor, Bagmane Tech Park, Bengaluru, IN
Line Of Business: CSS(CSS)
Job Category:
Engineering Technology
Experience Level: Experienced Hire
Role and Responsibilities: This Analytics Modeling Analyst role is part of the Model Verification team within Credit Strategy Standards, who will be responsible for verifying the implementation and quality assurance of Moodys proprietary predictive analytics models. The successful candidate will ensure that models are accurately implemented, perform as expected, and meet the highest standards of quality. Key responsibilities include:
Verifying the implementation of predictive analytics models against requirements and specification to ensure they are correctly coded and function as intended.
Conducting quality assurance tests to validate model performance and accuracy.
Collaborating with data scientists, technology teams, and other stakeholders to ensure models are robust and reliable.
Developing and maintaining documentation for model verification processes and results.
Communicating findings and recommendations to business stakeholders and decision-makers.
Staying current with the latest research and technology developments in predictive analytics and model verification.
Evaluating and selecting the best tools and IT architectures for model verification.
Qualifications:
Master s degree or Ph.D. in data science, computer science, statistics, mathematics, or a related quantitative field.
1-3 years of experience in machine learning, with a strong knowledge of algorithms and principles.
Proven track record of successfully modeling, building, and putting in production machine learning applications.
Good understanding of the tools explaining machine learning predictions.
Expertise in Python and SQL.
Knowledge of Git and collaboration principles.
Experience in natural language processing is a plus.
Good communication and presentation skills, with the ability to explain complex analytical concepts to people from other fields.
Previous experience in corporate finance or debt markets is preferred.
Knowledge of cloud services, with experience in AWS or Microsoft Azure being a plus.",https://www.naukri.com/job-listings-data-scientist-moodys-investors-service-bengaluru-1-to-3-years-070225505378
Data Scientist,Azira,1-4 Yrs,Not disclosed,Bengaluru,"Cloud computing, Data analysis, Neural networks, Machine learning, Data processing, Forecasting, Operations, SQL",5 Days Ago,"Descriptions

You will be joining Azira, a global Consumer Insights platform, helping marketing and operational leaders improve their effectiveness with actionable intelligence to drive business results. Its mission is to create a more relevant world where brands are empowered to reach and build relationships with their consumers.


We are looking for a Data Scientist to join our growing team, working on cutting-edge analytics and machine learning solutions. This role is not just about research it is about delivering business value. The ideal candidate will have experience moving from research to production, ensuring that data science solutions drive measurable impact. You will be responsible for developing models, deploying them at scale, and ensuring they deliver tangible results aligned with business milestones. This role reports to Head of Data Science.


A Day in the Life


Design and develop machine learning models (regression, classification, neural networks) that directly impact business outcomes.


Work with large-scale datasets using big data tools such as Spark to generate actionable insights.


Translate research into production-ready solutions, ensuring scalability, reliability, and performance.


Deliver projects against defined business milestones, tracking progress and ensuring successful deployment.


Optimize SQL queries to analyze structured data within cloud data storage environments.


Implement data science solutions using Python and apply object-oriented programming (OOP) principles where necessary.


Utilize cloud computing frameworks (preferably AWS, but experience with GCP or Azure is acceptable) to deploy and manage machine learning workflows.


Collaborate with cross-functional teams, including engineers, business analysts, and product managers, to integrate models into production systems.


Clearly communicate insights, technical solutions, and project progress to both technical and non-technical stakeholders.



What You Bring to the Role


Experience: 3-4 years overall, with at least 1-2 years in a big data/analytics company.


Strong foundation in statistics and probability for data analysis and model evaluation.


Hands-on experience with regression, classification, and neural network models in real-world applications.


Proven ability to transition from research to production, ensuring ML models deliver business impact.


Experience delivering projects on time and aligned with business milestones.


Proficiency in SQL for data extraction and manipulation within cloud data storage environments.


Experience with cloud computing frameworks, preferably AWS (GCP or Azure also acceptable).


Solid knowledge of Python programming and basic object-oriented programming (OOP) concepts.


Experience working with big data tools like Spark for distributed data processing.


A data science professional aligns data initiatives with business goals, communicates insights effectively, solves problems creatively, and collaborates with cross-functional teams.



Nice-to-Have Qualifications:


Experience with MLOps frameworks, such as MLflow, for managing machine learning lifecycles.


Proficiency in R programming language for statistical analysis.


Understanding of CI/CD pipelines for machine learning deployment.


Domain knowledge of geospatial datasets and mobility data.


Experience with time series analysis for forecasting and trend detection.


Basic understanding of LLMs (Large Language Models) and Generative AI.",https://www.naukri.com/job-listings-data-scientist-azira-bengaluru-1-to-4-years-070225500984
Data Scientist,Myntra,0-5 Yrs,Not disclosed,Bengaluru,"Supply chain, Computer vision, Operations research, data science, Neural networks, Machine learning, Data structures, Natural language processing",6 Days Ago,"Responsible for developing data science and machine learning models for Myntra Storefront, Supply Chain and other areas
Conversant with machine learning life cycles, model deployments etc
Theoretical understanding and practise of machine learning and expertise in one or more of the topics, such as, NLP, Computer Vision, and Optimisation.
Collaborating with Product and Business to formulate the problem into a Machine Learning model.
Connecting with Platforms and Engineering teams to make sure the predictive models built are deployed and integrated into the systems.
Working with the Data Platforms teams for understanding and collecting the data.
Qualifications & Experience
Knowledge on data structures, algorithms and efficient processing of large datasets
Well-versed with Python or equivalent programming language.
People with MTech, MS by Research or PhD in Computer Science/Electrical Engineering, or post graduate degree in Statistics, Operations Research, or Mathematics are preferred.
Having authored publications is plus
Good to have skills in general Machine Learning and Deep Learning such as
Natural Language Processing (NLP): Skills in NLP to develop models that understand and generate human language.
Computer Vision: Knowledge of computer vision techniques to interpret images and videos, including object identification and classification.
DevOps: Familiarity with DevOps principles and practices for deploying and managing machine learning models in production environments.
LLM and GenAI Models: Understanding of Large Language Models (LLM) and Other Generative AI (GenAI) models, including prompt engineering, model evaluation, optimization, and deployment.
Domain Knowledge: Expertise in a specific industry or field, enabling better understanding of data and business needs.
Ethical Data Science: Awareness of ethical considerations in data science, including privacy, bias, and fairness.
Collaboration: Strong communication and teamwork skills for effective collaboration with cross-functional teams, including engineers, product managers, and designers.",https://www.naukri.com/job-listings-data-scientist-myntra-com-bengaluru-0-to-5-years-050225503797
AI Engineer/Data Scientist,Blackbox Analytics &amp;amp; Solutions Private Limited,1-4 Yrs,Not disclosed,Bengaluru,"Computer vision, Front end, Machine learning, network services, Data processing, Data quality, Natural language processing, data privacy",7 Days Ago,"This position is an exciting opportunity with a growing IT team. Black Box Network Services is a leading communications system integrator dedicated to designing, sourcing, implementing, and maintaining todays complex communications solutions. This position is for a Data Scientist/AI Engineer that can deliver AI products that solve specific business problems by translating business needs into actionable requirements and managing iterative development processes.

Job Location: Manyata Tech Park, Bangalore

Role Summary

Responsible for analyzing large-scale data sets, building predictive models, and generating actionable insights using Microsoft SQL, Python, and Azure technologies.

Work closely with data engineers, and business stakeholders to understand the business requirements and deliver solutions that meet or exceed their expectations.

Ensure data quality, security, and compliance with best practices and standards.

Model Development & Optimization


Build and optimize ML models (e.g., supervised, unsupervised, reinforcement learning) for business needs.

Collaborate with Al Architects to ensure alignment with overall Al architecture and best practices.


Data Pipeline & Preprocessing


Work with the Solution Architect and Al Ops Engineer to design and maintain data pipelines.

Preprocess large datasets and implement feature engineering techniques


Model Deployment & Monitoring


Collaborate with Al Ops Engineers to deploy and monitor models in production.

Ensure models perform optimally and are retrained based on evolving needs.


Cross Functional Collaboration


Partner with UI/UX Designers to ensure Al solutions provide an intuitive user experience.

Work with Full Stack Developers to integrate Al models into front-end and back-end systems.

Engage with QA Engineers to validate model accuracy and robustness through testing protocols.


Innovation & AI Research


Stay updated on the latest Al/ML advancements (NLP, GenAl).

Experiment with new techniques to solve complex business challenges.


AI Governance & Ethical AI


Ensure Al models meet ethical standards, avoid bias, and comply with data privacy regulations



Required Skills


Expertise in machine learning, deep learning, and Al frameworks (e.g., TensorFIow, PyTorch, scikit-learn). Proficient in working with large datasets, data preprocessing, feature engineering, and data pipeline management.

Experience with cloud environments (AWS, Azure, Google Cloud) and Al tools for scalable Al solutions. Hands-on experience in deploying models into production, model monitoring, versioning, and lifecycle management.

Strong ability to work with Al Architects, Al Ops Engineers, Solution Architects, UI/UX Designers, Full Stack Developers, and QA Engineers in a cross-functional setting.

Proficiency in Python or R, with knowledge of SQL and other data processing languages.

Ability to stay current with evolving Al technologies and apply innovative solutions to complex problems.


Desired Skills


Experience working with advanced Generative Al models (e.g., GPT, BERT, DALL-E) for specialized tasks.

Expertise in Natural Language Processing or Computer Vision for domain-specific applications. Familiarity with AIOps/MLOps practices for streamlining Al model workflows and ensuring robust deployment in production environments.

Understanding of Al governance, ethics, and bias mitigation strategies to ensure responsible Al development.








Black Box is a leading technology solutions provider. Our mission is to accelerate our customers business by valuing relationships with our team members, clients and stakeholders. By continuously growing our knowledge, we remain relevant in the market and are in a superior position to help customers design, deploy and manage their IT infrastructure. Through our values, such as innovation, ownership, transparency, respect and open-mindedness, we deliver high-value products and services through our global presence and 2,500+ team members in 24 countries and growing. Black Box is a wholly-owned subsidiary of AGC Networks.






Black Box is an equal opportunity employer. Black Box does not discriminate against individuals on the basis of race, color, marital status, sex, sexual orientation, gender identity, religion, national origin, age, disability, veteran status, genetic information, or any other protected status, and endorses those policies and practices which seek to recruit, hire, train and promote the most qualified persons into available jobs.",https://www.naukri.com/job-listings-ai-engineer-data-scientist-blackbox-analytics-amp-amp-solutions-private-limited-bengaluru-1-to-4-years-040225502565
Data Scientist At a Fintech Unicorn,Recruito,0-3 Yrs,15-19 Lacs PA,Remote,"Machine Learning, Computer Vision, Python, Data, Fintech, Vision, Machine, Computer",15 Days Ago,"Responsibilities

Develop advanced models and run experiments to extract actionable insights from complex datasets, driving strategic decision-making.
Improve product usability and identify new growth opportunities by leveraging analytics and machine learning techniques.
Build state-of-the-art ranking and recommender systems to understand user preferences and deliver personalized product suggestions across various app touchpoints.
Design and implement computer vision-led systems to help sellers seamlessly list products and succeed on the platform.
Create AI-driven solutions to identify fraudulent activities and optimize order fulfillment processes.
Develop cutting-edge ML applications for ads and monetization, balancing seller ROI, user experience, and revenue generation.
Build models to forecast seasonal demand, ensuring accurate prediction of key organizational metrics and supporting business planning efforts.

Requirements

Strong knowledge of Deep Learning, Machine Learning, Computer Vision, and related AI technologies.
Proficiency in tools and programming languages such as Python, SQL, PyTorch, and TensorFlow.
Solid understanding of Statistics, Linear Algebra, and mathematical concepts essential for machine learning.
Strong grasp of hypothesis testing and model evaluation techniques.
Hands-on experience in designing and optimizing machine learning models and algorithms.
Ability to extract, process, and analyze data from reliable sources to generate actionable insights.
Prior experience working in tech and product teams is highly desirable.

Perks and benefits
Medical Insurance
Internet Reimbursement
Flexible working hours
Unlimited leave policy.",https://www.naukri.com/job-listings-data-scientist-at-a-fintech-unicorn-recruito-bengaluru-0-to-3-years-280125009642
Data Scientist,Glean,1-2 Yrs,Not disclosed,Bengaluru,"Product management, B2B, SAAS, Business intelligence, Statistics, Analytics, SQL, Python",7 Days Ago,"About Glean

We re on a mission to make knowledge work faster and more humane. We believe that AI will fundamentally transform how people work. In the future, everyone will work in tandem with expert AI assistants who find knowledge, create and synthesize information, and execute work. These assistants will free people up to focus on the higher-level, creative aspects of their work

We re building a system of intelligence for every company in the world. On the surface, you can think of it as Google + ChatGPT for the enterprise. Under the hood, our platform is the connective tissue between AI and knowledge. It brings all of a company s knowledge together, understands it at a deep level, provides industry-leading search relevance over it, and connects it to generative AI agents and applications

Glean was founded by a seasoned team of former Google search and Facebook engineers who saw a need in the enterprise space for their technical depth and passion for AI. We re a diverse team of curious and creative people who want to help each other get big things done so we can help other teams do the same.

Were backed by some of the Valleys leading venture capitalists including Sequoia, Kleiner Perkins, Lightspeed, and General Catalyst and have assembled a world-class team with senior leadership experience at Google, Slack, Facebook, Dropbox, Rubrik, Uber, Intercom, Pinterest, Palantir, and others.

About the role



Glean is building a world-class Data Organization composed of data science, applied science, data engineering and business intelligence groups. This is a data science role based in our Bangalore R&D.

At Glean, data scientists collaborate with engineering, product management and design to


Define and build data assets, e.g. KPI definitions, data pipelines and dashboards, to measure the performance of AI-powered assistant products for knowledge workers.

Identify opportunities to improve these KPIs, and influence cross functional teams to incorporate associated changes into their roadmaps.

Create and maintain quantitative frameworks and methodologies, e.g. bring more rigor into experiment analyses, use statistical modeling to identify leading indicators of user growth and engagement.


You d be embedded within a specific set of products in Glean s large offering of search and generative AI products. These products aim to make Glean mission critical for the knowledge worker (i.e. the user) and the firm she works at (i.e. the customer).

You d explore how Glean s search and generative AI products should intersect. You d explore different product modalities like web, mobile and desktop apps, as well as experiences where Glean s embedded into other products like an internal portal or another B2B SaaS product like Slack. You d explore how unstructured data in documents, structured data and data outside of an organization should come together. You d look into the knowledge worker as a potential creator of generative AI experiences for others around her, rather than a mere consumer of these experiences. You d explore knowledge workers in specific job function verticals like engineering and support. You d think about empowering Glean s customers to reign in the proliferated set of AI agents around them for maximum value, whether or not they are created by Glean.

At the intersection of all these domains is using product analytics to enhance a user and customer s experience. Combined with enterprise-grade & highly performant AI, which d be delivered by sister teams, such magical experience is the prerequisite for making Glean grow into over 1B knowledge workers out there.

Minimum qualifications:


You have a Bachelors/Masters/PhD degree in Statistics, Mathematics or Computer Science, or another quantitative field.

You have 6+ years of industry experience as a data scientist. For PhD degree holders, the minimum years of required experience as a data scientist is 2 years.

You have strong business sense, and are strong at defining good product KPIs/guardrail metrics, dashboarding and analysis of raw data to derive strategic insights.

You are familiar with BI visualization tools such as Sigma, Metabase, Tableau or Looker.

You are proficient in SQL and the modern data stack (e.g. dbt pipelines for ETL/ELT).

You are proficient in Python.

You have experience in writing source-controlled code for pipelines and internal tools for data-oriented decision making.

You are strong at statistics. You have experience in applying these skills into tangible improvements in products, internal tools and processes using A/B testing and non-experimental methods.

You are concise and precise in written and verbal communication. Technical documentation is your strong suit.


You are a particularly good fit if:


You have experience in B2B SaaS, especially in the enterprise AI space.

You have a very strong sense of ownership and self-motivation. You are laser focused on delivering business impact while growing as an individual along with Glean.

You are good at managing evolving priorities while bringing core initiatives to a success.

You have experience working with collaborators across large time zone differences.


We are a diverse bunch of people and we want to continue to attract and retain a diverse range of people into our organization. Were committed to an inclusive and diverse company. We do not discriminate based on gender, ethnicity, sexual orientation, religion, civil or family status, age, disability, or race.",https://www.naukri.com/job-listings-data-scientist-glean-bengaluru-1-to-2-years-040225503959
Data Scientist & Experimentation Analyst,Encora,0-5 Yrs,Not disclosed,Bengaluru,"Product engineering, Data analysis, Statistical modeling, Senior Analyst, Cloud Services, Machine learning, Quality engineering, Data analytics",30+ Days Ago,"Data Scientist & Experimentation Analyst
Important Information
Location: Remote
Job Summary
Role Overview
Data Scientist & Experimentation Analyst to play a critical role in supporting the development and evaluation of ML-driven pricing and personalization solutions. This role provides data-driven insights and rigorous experimentation, enabling end-to-end support for machine learning initiatives. The ideal candidate will excel in statistical analysis, experiment design, and data science workflows while supporting ML Scientists in building robust models and analyzing their performance.
Key Responsibilities
Experiment Design & Analysis: Design, execute, and interpret controlled experiments (e.g., A/B tests, multivariate tests) to evaluate the effectiveness of ML models and strategies.
Data Analysis & Insights: Conduct exploratory data analysis (EDA), hypothesis testing, and statistical modelling to support ML and business objectives.
ML Model Support: Assist ML Scientists in preparing data, engineering features, and evaluating models for pricing and personalization solutions.
Reporting & Visualization: Create dashboards and visualizations to track key metrics, experiment outcomes, and model performance.
Ad-Hoc Analysis: Perform deep dives and provide actionable insights on specific datasets or business questions to inform strategic decisions.
Collaboration: Partner with ML Scientists, Data Engineers, and Product Managers to align on experimentation goals and ensure successful implementation of ML solutions.
Qualifications
7+ years in data science, experimentation analysis, or a related role supporting ML projects and experimentation.
Strong understanding of statistical methods, experiment design, and causal inference techniques.
Proficiency in Python for data manipulation & machine learning (Pandas, NumPy, sci-kit-learn).
Intermediate skills in SQL for data querying, including Window Functions, Joins, and Group By
Familiarity with classical ML techniques like Classification, Regression, and Clustering, using algorithms like XGBoost, Random Forest, and KMeans.
Experience with data visualization platforms (e.g., Tableau, Power BI, Matplotlib, or Seaborn).
Proficiency in designing and analyzing A/B and multivariate experiments, focusing on drawing actionable insights.
Experience working with large, complex datasets, including preprocessing, feature engineering, and encoding techniques.
About Encora
Encora is a global company that offers Software and Digital Engineering solutions. Our practices include Cloud Services, Product Engineering & Application Modernization, Data & Analytics, Digital Experience & Design Services, DevSecOps, Cybersecurity, Quality Engineering, AI & LLM Engineering, among others.
At Encora, we hire professionals based solely on their skills and do not discriminate based on age, disability, religion, gender, sexual orientation, socioeconomic status, or nationality.",https://www.naukri.com/job-listings-data-scientist-experimentation-analyst-encora-bengaluru-0-to-5-years-241224504875
"Data Scientist Python, SQL, Jupyter notebook",Epergne Solutions,3-7 Yrs,Not disclosed,Bengaluru,"python, data analysis, jupyter notebook, sql, data quality, data analytics, natural language processing, scikit-learn",Just Now,"Epergne Solutions is looking for ""Data Scientist"". Job Title :Data Scientist. Payroll:Epergne Solutions( FTE). Total Experience:10+. Relevant Experience on Mandatory Skills5+. Locations:Chennai/ Bengaluru/Hyderabad/Noida/ Pune/ Bhubaneshwar/ Coimbatore/Mumbai. Technical Requirements. Looking for experienced Data Scientist with 5+ years of experience in Python, SQL and working knowledge in using Jupyter notebook to demonstrate data analysis.
Responsibilities. The Data Scientist should be capable to provide continuous data exploration and insights to help the team identify enhancements to data matching logic (including Fuzzy logic ) and improve overall data quality in SCI solution.
Use large datasets from excel and databased to perform above discussed various analysis.
Responsible to perform various analysis to improve Data quality.
Participate in weekly playback using Jupyter notebooks to demon the insights.
Weekly incorporation of new explorations/analysis as prioritized by the working group providing feedback through the playback sessions.
Should participate in project scaling and support outcomes. Data acquisition, cleansing and validation as part of pre-requisites to batch ingestion of new markets in scope for SCI.
Data Analysis and validation of SCI records post batch ingestion. Proactively find insights and work to improve data quality.
Coordinate with business stakeholders in manually validation of records segregated for manual intervention.
Salary As per market standards. Client Interview (Yes /No)Yes. Show more Show less",https://www.naukri.com/job-listings-data-scientist-python-sql-jupyter-notebook-epergne-solutions-bengaluru-3-to-7-years-120225915541
Data Scientist,Epergne Solutions,4-6 Yrs,Not disclosed,Bengaluru,"python, golang, machine learning, sql, statistics, algorithms, c++, data management",Just Now,"Skills:
Python, SQL, Java, Go, C++, Designing,. Must Have. Experience working closely with other data scientists, data engineers software engineers, data managers and business partners.
Can build scalable, re-usable, impactful data science products, usually containing statistical or machine learning algorithms, in collaboration with data engineers and software engineers.
Can carry out data analyses to yield actionable business insights.
Hands-on experience (typically 5+ years) designing, planning, prototyping, productionizing, maintaining and documenting reliable and scalable data science products in complex environments.
Applied knowledge of data science tools and approaches across all data lifecycle stages.
Thorough understanding of underlying mathematical foundations of statistics and machine learning.
Development experience in one or more object-oriented programming languages (e.g. Python, Go, Java, C++). Advanced SQL knowledge.
Knowledge of experimental design and analysis.
Customer-centric and pragmatic mindset. Focus on value delivery and swift execution, while maintaining attention to detail",https://www.naukri.com/job-listings-data-scientist-epergne-solutions-bengaluru-4-to-6-years-120225915486
data scientist,CN Solutions,4-6 Yrs,Not disclosed,Bengaluru,"sap, hiring, presentation skills, machine learning algorithms, statistics, erp, python, software testing",Just Now,"Skills:
Data science, python, soark, Azure, Mango, panda,. Company Overview. CN Solutions is a leading IT services and consulting company that specializes in providing first-class solutions for manpower requirements. With a team of experienced professionals, we are dedicated to identifying and shortlisting potential candidates based on client requirements. Our expertise includes web technologies, databases, software testing, CRM, ERP, data warehousing, middleware, ESM, business analysis, cyber security, IT infrastructure, and SAP hiring. We offer a range of services including staffing solutions, leadership hiring, RPO, and general staffing.
Job Overview. CN Solutions is seeking a talented and experienced Data Scientist to join our team. As a Data Scientist, you will be responsible for analyzing complex datasets to identify trends, patterns, and insights that will drive business decisions. This role requires a strong knowledge of machine learning algorithms, statistical analysis, and programming. The ideal candidate should have 4 to 6 years of experience as a Data Scientist, excellent problem-solving skills, and a passion for leveraging data to solve complex problems. This is a full-time position located in Bangalore, Karnataka, India, with the opportunity to work on cutting-edge projects.
Qualifications And Skills. Bachelor's degree in Computer Science, Statistics, or a related field; Master's degree preferred. 4 to 6 years of experience as a Data Scientist, preferably in a mid-level role. Proficient in programming languages such as Python or R. Strong knowledge of machine learning algorithms and statistical analysis techniques. Experience with data visualization tools (e.g., Tableau, Power BI) is a plus. Excellent problem-solving and critical thinking skills. Strong communication and presentation skills. Ability to work effectively in a cross-functional team environment. Roles And Responsibilities. Analyze large and complex datasets to identify trends, patterns, and insights. Develop and implement machine learning models and algorithms. Apply statistical analysis techniques to interpret data and derive meaningful conclusions. Collaborate with cross-functional teams to define business requirements and project objectives. Design and create data visualizations to effectively communicate findings to stakeholders. Stay updated with the latest advancements in data science and machine learning. Identify opportunities to leverage data to drive business growth and optimize processes. Provide guidance and mentoring to junior data scientists. Show more Show less",https://www.naukri.com/job-listings-data-scientist-cn-solutions-bengaluru-4-to-6-years-120225913811
